artifact,scope,status,generator,evidence,notes,current_path,disposition
1.Source Data/2022_alert_map_panel_2x3.png,artifact,generated_confirmed,2.Source Code/generate_2022_alert_map_panel.py,"2.Source Code/generate_2022_alert_map_panel.py:362: fig.savefig(output_path, dpi=300, bbox_inches=""tight""); default line 424.",External default shapefile is codespace_root/0.Archived/New_analysis_dataset_for_vis/world_analysis.shp (lines 420-423). Exists on current machine but lies outside this replication-package root.,1.Source Data/2022_alert_map_panel_2x3.png,retained
1.Source Data/2022_alert_map_panel_2x3_diagnostics.csv,artifact,generated_confirmed,2.Source Code/generate_2022_alert_map_panel.py,"2.Source Code/generate_2022_alert_map_panel.py:512: diagnostics.to_csv(args.diagnostics, index=False); default lines 428-430.",External default shapefile is codespace_root/0.Archived/New_analysis_dataset_for_vis/world_analysis.shp (lines 420-423). Exists on current machine but lies outside this replication-package root.,1.Source Data/2022_alert_map_panel_2x3_diagnostics.csv,retained
1.Source Data/All_prediction.csv,artifact,generated_confirmed,2.Source Code/generate_all_prediction_temporal_test.py,"2.Source Code/generate_all_prediction_temporal_test.py:651: to_csv(paths[...], index=False); destination mapping lines 633-635.","run_generation lines 744-774 uses packaged forecasting, nowcasting, lookup and parameter inputs; writes canonical artifact tree under staging_dir (CLI output root). Existing rows: 1170",1.Source Data/All_prediction.csv,retained
1.Source Data/All_prediction_cleaned.csv,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.","498 rows, human-facing columns UID, Country English Name, ISO3, Area ID, Date, IPC Offical; derived prediction sheet; no explicit reader/writer for this CSV found. | 2026-09-15 author confirmed obsolete; archived_obsolete: No filename-specific active reader found. DEFAULT_SHEET All_prediction_cleaned and generic user-supplied Excel support do not select these artifacts.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/All_prediction_cleaned.csv,archived_obsolete
1.Source Data/All_prediction_country_phase3plus_population.csv,artifact,generated_confirmed,2.Source Code/generate_country_phase3plus_population.py,"2.Source Code/generate_country_phase3plus_population.py:229: output.to_csv(args.output, index=False, date_format=""%Y-%m-%d""); destination lines 190-192.","Default upstream codespace_root/0.Archived/new_merge_0107.csv, line 189, exists on current machine but is outside package.",1.Source Data/All_prediction_country_phase3plus_population.csv,retained
1.Source Data/All_prediction_truth_disagreements.csv,artifact,generated_confirmed,2.Source Code/generate_all_prediction_temporal_test.py,"2.Source Code/generate_all_prediction_temporal_test.py:653: to_csv(paths[...], index=False); destination mapping lines 633-635.","run_generation lines 744-774 uses packaged forecasting, nowcasting, lookup and parameter inputs; writes canonical artifact tree under staging_dir (CLI output root). Existing rows: 5",1.Source Data/All_prediction_truth_disagreements.csv,retained
1.Source Data/All_prediction_updated.xlsx,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.",Workbook sheet All_prediction_cleaned; generic Excel reader support / default sheet in generate_all_prediction_evaluation.py:41 is not filename-specific writer evidence; no producer found. | 2026-09-15 author confirmed obsolete; archived_obsolete: No filename-specific active reader found. DEFAULT_SHEET All_prediction_cleaned and generic user-supplied Excel support do not select these artifacts.,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/All_prediction_updated.xlsx,archived_obsolete
1.Source Data/Dataset_Preparation.xlsx,artifact,source_input,,"Workbook xl/sharedStrings.xml contains Dataset Source, variable_name, variable label, Description, Unit and dataset descriptions.",Exempt supplied analysis input / reference metadata; lack of preparation script is not a defect.,1.Source Data/Dataset_Preparation.xlsx,retained
1.Source Data/Forecasting_Analysis_010825.csv,artifact,source_input,,2.Source Code/Table1_Forecasting_main.ipynb cell 1 line 35: pd.read_csv; 5575 source rows.,Exempt supplied analysis input / reference metadata; lack of preparation script is not a defect.,1.Source Data/Forecasting_Analysis_010825.csv,retained
1.Source Data/Nowcasting_Analysis_010825.csv,artifact,source_input,,2.Source Code/Table1_Contemporaneous_main.ipynb cell 1: modeling input; 5575 source rows.,Exempt supplied analysis input / reference metadata; lack of preparation script is not a defect.,1.Source Data/Nowcasting_Analysis_010825.csv,retained
1.Source Data/all_predictions_severity.ipynb,code_placeholder,empty_code_placeholder,,Filesystem stat: zero bytes; JSON parser fails at line 1 column 1.,"Empty notebook placeholder, not an analysis result; cannot execute and contains no generator code.",1.Source Data/all_predictions_severity.ipynb,retained
1.Source Data/area_country_lookup.csv,artifact,source_input,,2.Source Code/Figure4_Descriptives.ipynb cell 2 lines 1-5: reads source lookup; 1198 rows.,Exempt supplied analysis input / reference metadata; lack of preparation script is not a defect.,1.Source Data/area_country_lookup.csv,retained
1.Source Data/df_vis_nowacast.csv,artifact,generated_confirmed,2.Source Code/generate_all_prediction_temporal_test.py,"2.Source Code/generate_all_prediction_temporal_test.py:652: to_csv(paths[...], index=False); destination mapping lines 633-635.","run_generation lines 744-774 uses packaged forecasting, nowcasting, lookup and parameter inputs; writes canonical artifact tree under staging_dir (CLI output root). Existing rows: 1170",1.Source Data/df_vis_nowacast.csv,retained
